Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
07-03-2026 ; 16:33:52,80.1,88.2,74.3,45.3,60.7,57.3,65.4,64,55.6,59.6,69.2,72.2,67.6,62.5,57.2,39.1,64.5,63.2,50.1,40.8,55.9,57,57.7,54.2
07-03-2026 ; 16:34:00,80.1,88.2,74.3,45.3,60.7,57.4,65.5,64.1,55.6,59.6,69.2,72.3,67.6,62.5,57.2,39,64.5,63.2,50.1,40.8,55.9,57,57.7,54.2
07-03-2026 ; 16:44:00,84.4,92.8,78.3,46.8,63.4,59.6,68.2,67,57.6,61.6,71.2,74.7,70,64.9,58.5,39.2,67.1,65.9,52,41.3,58.1,59.2,59.8,56
