Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
07-03-2026 ; 16:15:10,65.2,71.3,61.9,40.9,51.2,48.5,54.7,53,50.5,53.5,59,60.3,58,53.7,50.3,39.1,57.6,56.6,46.7,39.8,50.3,51,51.5,49.4
07-03-2026 ; 16:16:00,65.2,71.3,61.9,40.9,51.2,48.5,54.7,53,50.8,53.9,59.8,61.3,58.8,54.5,50.8,39.4,58,57,46.8,39.8,50.6,51.3,51.9,49.6
07-03-2026 ; 16:26:01,65.2,71.3,61.9,40.9,51.2,48.5,54.7,53,53.8,57.6,66.6,69.5,65.3,60.5,55.4,38.5,61.9,60.8,48.6,40.4,53.9,55,55.7,52.5
07-03-2026 ; 16:33:24,80,88.1,74.3,45.4,60.6,57.3,65.3,64,55.6,59.6,69.1,72.1,67.7,62.3,57.1,39.1,64.3,63.2,50.1,40.8,55.7,56.8,57.6,54.2
