Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
07-03-2026 ; 15:36:52,64,69.4,58.8,38,48.8,46.2,52.3,51.2,47.1,50.4,62.1,64.3,60,57.7,53.5,38.3,52.7,51.2,41.4,37.9,48.3,49.4,50.5,46.1
07-03-2026 ; 15:37:00,64.1,69.6,59,38.1,49.1,46.3,52.4,51.2,47.1,50.4,62.2,64.5,60.1,57.6,53.5,38.2,52.8,51.3,41.5,38,48.4,49.5,50.5,46.2
07-03-2026 ; 15:47:00,70.2,77.3,65.1,39.5,53,49.8,57,56,50.2,53.7,65.6,69.2,63.6,60.5,55.6,39.7,57.2,55.7,44,38.8,51.3,52.5,53.4,49.1
