Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
07-03-2026 ; 17:34:04,56.5,60.1,53.2,45.2,45.8,45.1,47.9,47.5,42.9,44.2,44.7,39.5,43.4,40.1,40,37.1,48.6,48.2,45.9,39,42,43,43.3,42.3
07-03-2026 ; 17:35:00,56.9,60.5,53.8,45.2,45.7,45,47.7,47.2,42.8,44.1,44.5,39.4,43.3,40,39.9,37.2,48.5,48.2,45.7,39,42.1,42.8,43.2,42.1
07-03-2026 ; 17:40:00,55.3,58.8,53.5,45,44.7,44.1,46.7,46.2,41.9,43.2,43.5,39,42.4,39.4,39.4,36.6,47.6,47.2,45,38.9,41.9,42.4,42.7,41.4
07-03-2026 ; 17:45:00,54.2,57.2,51.9,44.7,44.2,43.5,45.9,45.4,41.4,42.6,42.7,38.7,41.7,39,39,36.6,46.9,46.5,44.4,38.8,41.4,41.9,42.1,40.8
07-03-2026 ; 17:50:00,53,55.8,51.3,44.4,43.4,42.7,45.1,44.6,40.8,41.9,42,38.3,41,38.5,38.7,36.6,46,45.6,43.7,38.6,41.1,41.4,41.7,40.3
