id,time,tag_name,value
4953,2026-05-01 18:20:53,TEMP,0.0
4951,2026-05-01 18:20:48,TEMP,0.0
4949,2026-05-01 18:20:43,TEMP,0.0
4947,2026-05-01 18:20:38,TEMP,0.0
4945,2026-05-01 18:20:33,TEMP,0.0
4943,2026-05-01 18:20:28,TEMP,0.0
4941,2026-05-01 18:20:23,TEMP,0.0
4939,2026-05-01 18:20:17,TEMP,0.0
4937,2026-05-01 18:20:12,TEMP,0.0
4935,2026-05-01 18:20:07,TEMP,0.0
4933,2026-05-01 18:20:02,TEMP,0.0
4931,2026-05-01 18:19:57,TEMP,0.0
4929,2026-05-01 18:19:52,TEMP,0.0
4927,2026-05-01 18:19:47,TEMP,0.0
4925,2026-05-01 18:19:42,TEMP,0.0
4923,2026-05-01 18:19:37,TEMP,0.0
4921,2026-05-01 18:19:32,TEMP,0.0
4919,2026-05-01 18:19:27,TEMP,0.0
4917,2026-05-01 18:12:09,TEMP,0.0
4915,2026-05-01 18:12:04,TEMP,0.0
4913,2026-05-01 18:11:59,TEMP,0.0
4911,2026-05-01 18:10:18,TEMP,0.0
4909,2026-05-01 18:10:13,TEMP,0.0
4907,2026-05-01 18:09:56,TEMP,0.0
4905,2026-05-01 18:09:51,TEMP,0.0
4903,2026-05-01 18:09:45,TEMP,0.0
4901,2026-05-01 18:09:40,TEMP,0.0
4899,2026-05-01 18:09:35,TEMP,0.0
4897,2026-05-01 18:09:30,TEMP,0.0
4895,2026-05-01 18:09:25,TEMP,0.0
4893,2026-05-01 18:09:20,TEMP,0.0
4891,2026-05-01 18:09:15,TEMP,0.0
4889,2026-05-01 18:09:10,TEMP,0.0
4887,2026-05-01 18:09:05,TEMP,0.0
4885,2026-05-01 18:09:00,TEMP,0.0
4883,2026-05-01 18:08:55,TEMP,0.0
4881,2026-05-01 18:08:50,TEMP,0.0
4879,2026-05-01 18:08:45,TEMP,0.0
4877,2026-05-01 18:08:40,TEMP,0.0
4875,2026-05-01 18:08:35,TEMP,0.0
4873,2026-05-01 18:08:30,TEMP,0.0
4871,2026-05-01 18:08:25,TEMP,0.0
4869,2026-05-01 18:08:19,TEMP,0.0
4867,2026-05-01 18:08:14,TEMP,0.0
4865,2026-05-01 18:08:09,TEMP,0.0
4863,2026-05-01 18:08:04,TEMP,0.0
4861,2026-05-01 18:07:59,TEMP,0.0
4859,2026-05-01 18:07:54,TEMP,0.0
4857,2026-05-01 18:07:49,TEMP,0.0
4855,2026-05-01 18:07:44,TEMP,0.0
4853,2026-05-01 18:07:39,TEMP,0.0
4851,2026-05-01 18:07:34,TEMP,0.0
4849,2026-05-01 18:07:29,TEMP,0.0
4847,2026-05-01 18:07:24,TEMP,0.0
4845,2026-05-01 18:07:19,TEMP,0.0
4843,2026-05-01 18:07:14,TEMP,0.0
4841,2026-05-01 18:07:09,TEMP,0.0
4839,2026-05-01 18:07:03,TEMP,0.0
4837,2026-05-01 18:06:58,TEMP,0.0
4835,2026-05-01 18:06:53,TEMP,0.0
4833,2026-05-01 18:06:48,TEMP,0.0
4831,2026-05-01 18:06:43,TEMP,0.0
4829,2026-05-01 18:06:38,TEMP,0.0
4827,2026-05-01 18:06:33,TEMP,0.0
4825,2026-05-01 18:06:28,TEMP,0.0
4823,2026-05-01 18:06:23,TEMP,0.0
4821,2026-05-01 18:01:19,TEMP,0.0
4819,2026-05-01 18:01:14,TEMP,0.0
4817,2026-05-01 18:01:09,TEMP,0.0
4815,2026-05-01 18:01:04,TEMP,0.0
4813,2026-05-01 18:00:59,TEMP,0.0
4811,2026-05-01 18:00:54,TEMP,0.0
4809,2026-05-01 18:00:49,TEMP,0.0
4807,2026-05-01 18:00:43,TEMP,0.0
4805,2026-05-01 18:00:38,TEMP,0.0
4803,2026-05-01 18:00:33,TEMP,0.0
4801,2026-05-01 18:00:28,TEMP,0.0
4799,2026-05-01 18:00:23,TEMP,0.0
4797,2026-05-01 18:00:18,TEMP,0.0
4795,2026-05-01 18:00:13,TEMP,0.0
4793,2026-05-01 18:00:08,TEMP,0.0
4791,2026-05-01 18:00:03,TEMP,0.0
4789,2026-05-01 17:59:58,TEMP,0.0
4787,2026-05-01 17:59:53,TEMP,0.0
4785,2026-05-01 17:59:48,TEMP,0.0
4783,2026-05-01 17:59:43,TEMP,0.0
4781,2026-05-01 17:59:38,TEMP,0.0
4779,2026-05-01 17:59:32,TEMP,0.0
4777,2026-05-01 17:59:27,TEMP,0.0
4775,2026-05-01 17:59:22,TEMP,0.0
4773,2026-05-01 17:59:17,TEMP,0.0
4771,2026-05-01 17:59:12,TEMP,0.0
4769,2026-05-01 17:59:07,TEMP,0.0
4767,2026-05-01 17:59:02,TEMP,0.0
4765,2026-05-01 17:58:57,TEMP,0.0
4763,2026-05-01 17:58:52,TEMP,0.0
4761,2026-05-01 17:58:47,TEMP,0.0
4759,2026-05-01 17:58:42,TEMP,0.0
4757,2026-05-01 17:58:37,TEMP,0.0
4755,2026-05-01 17:58:32,TEMP,0.0
4753,2026-05-01 17:58:27,TEMP,0.0
4751,2026-05-01 17:58:22,TEMP,0.0
4749,2026-05-01 17:58:16,TEMP,0.0
4747,2026-05-01 17:58:11,TEMP,0.0
4745,2026-05-01 17:58:06,TEMP,0.0
4743,2026-05-01 17:58:01,TEMP,0.0
4741,2026-05-01 17:57:56,TEMP,0.0
4739,2026-05-01 17:57:51,TEMP,0.0
4737,2026-05-01 17:57:46,TEMP,0.0
4735,2026-05-01 17:57:41,TEMP,0.0
4733,2026-05-01 17:57:36,TEMP,0.0
4731,2026-05-01 17:57:31,TEMP,0.0
4729,2026-05-01 17:57:26,TEMP,0.0
4727,2026-05-01 17:57:21,TEMP,0.0
4725,2026-05-01 17:57:16,TEMP,0.0
4723,2026-05-01 17:57:11,TEMP,0.0
4721,2026-05-01 17:57:06,TEMP,0.0
4719,2026-05-01 17:57:01,TEMP,0.0
4717,2026-05-01 17:56:56,TEMP,0.0
4715,2026-05-01 17:56:51,TEMP,0.0
4713,2026-05-01 17:56:46,TEMP,0.0
4711,2026-05-01 17:56:40,TEMP,0.0
4709,2026-05-01 17:56:35,TEMP,0.0
4707,2026-05-01 17:56:30,TEMP,0.0
4705,2026-05-01 17:56:25,TEMP,0.0
4703,2026-05-01 17:56:20,TEMP,0.0
4701,2026-05-01 17:56:15,TEMP,0.0
4699,2026-05-01 17:56:10,TEMP,0.0
4697,2026-05-01 17:56:05,TEMP,0.0
4695,2026-05-01 17:56:00,TEMP,0.0
4693,2026-05-01 17:55:55,TEMP,0.0
4691,2026-05-01 17:55:50,TEMP,0.0
4689,2026-05-01 17:55:45,TEMP,0.0
4687,2026-05-01 17:55:40,TEMP,0.0
4685,2026-05-01 17:55:35,TEMP,0.0
4683,2026-05-01 17:55:30,TEMP,0.0
4681,2026-05-01 17:55:24,TEMP,0.0
4679,2026-05-01 17:55:19,TEMP,0.0
4677,2026-05-01 17:55:14,TEMP,0.0
4675,2026-05-01 17:55:09,TEMP,0.0
4673,2026-05-01 17:55:04,TEMP,0.0
4671,2026-05-01 17:54:59,TEMP,0.0
4669,2026-05-01 17:54:54,TEMP,0.0
4667,2026-05-01 17:54:49,TEMP,0.0
4665,2026-05-01 17:54:44,TEMP,0.0
4663,2026-05-01 17:54:39,TEMP,0.0
4661,2026-05-01 17:54:34,TEMP,0.0
4659,2026-05-01 17:54:29,TEMP,0.0
4657,2026-05-01 17:54:24,TEMP,0.0
4655,2026-05-01 17:54:19,TEMP,0.0
4653,2026-05-01 17:54:14,TEMP,0.0
4651,2026-05-01 17:54:09,TEMP,0.0
4649,2026-05-01 17:54:04,TEMP,0.0
4647,2026-05-01 17:53:58,TEMP,0.0
4645,2026-05-01 17:53:53,TEMP,0.0
4643,2026-05-01 17:53:48,TEMP,0.0
4641,2026-05-01 17:53:43,TEMP,0.0
4639,2026-05-01 17:53:38,TEMP,0.0
4637,2026-05-01 17:53:33,TEMP,0.0
4635,2026-05-01 17:53:28,TEMP,0.0
4633,2026-05-01 17:53:23,TEMP,0.0
4631,2026-05-01 17:53:18,TEMP,0.0
4629,2026-05-01 17:53:13,TEMP,0.0
4627,2026-05-01 17:53:08,TEMP,0.0
4625,2026-05-01 17:53:03,TEMP,0.0
4623,2026-05-01 17:52:57,TEMP,0.0
4621,2026-05-01 17:52:52,TEMP,0.0
4619,2026-05-01 17:52:47,TEMP,0.0
4617,2026-05-01 17:52:42,TEMP,0.0
4615,2026-05-01 17:52:37,TEMP,0.0
4613,2026-05-01 17:52:32,TEMP,0.0
4611,2026-05-01 17:52:27,TEMP,0.0
4609,2026-05-01 17:52:22,TEMP,0.0
4607,2026-05-01 17:52:17,TEMP,0.0
4605,2026-05-01 17:52:12,TEMP,0.0
4603,2026-05-01 17:52:07,TEMP,0.0
4601,2026-05-01 17:52:02,TEMP,0.0
4599,2026-05-01 17:51:56,TEMP,0.0
4597,2026-05-01 17:51:51,TEMP,0.0
4595,2026-05-01 17:51:46,TEMP,0.0
4593,2026-05-01 17:51:41,TEMP,0.0
4591,2026-05-01 17:51:36,TEMP,0.0
4589,2026-05-01 17:51:31,TEMP,0.0
4587,2026-05-01 17:51:26,TEMP,0.0
4585,2026-05-01 17:51:21,TEMP,0.0
4583,2026-05-01 17:51:16,TEMP,0.0
4581,2026-05-01 17:51:11,TEMP,0.0
4579,2026-05-01 17:51:06,TEMP,0.0
4577,2026-05-01 17:51:01,TEMP,0.0
4575,2026-05-01 17:50:56,TEMP,0.0
4573,2026-05-01 17:50:51,TEMP,0.0
4571,2026-05-01 17:50:46,TEMP,0.0
4569,2026-05-01 17:50:41,TEMP,0.0
4567,2026-05-01 17:50:36,TEMP,0.0
4565,2026-05-01 17:50:30,TEMP,0.0
4563,2026-05-01 17:50:25,TEMP,0.0
4561,2026-05-01 17:50:20,TEMP,0.0
4559,2026-05-01 17:50:15,TEMP,0.0
4557,2026-05-01 17:50:10,TEMP,0.0
4555,2026-05-01 17:50:05,TEMP,0.0
4553,2026-05-01 17:50:00,TEMP,0.0
4551,2026-05-01 17:49:55,TEMP,0.0
4549,2026-05-01 17:49:50,TEMP,0.0
4547,2026-05-01 17:49:45,TEMP,0.0
4545,2026-05-01 17:49:40,TEMP,0.0
4543,2026-05-01 17:49:35,TEMP,0.0
4541,2026-05-01 17:49:29,TEMP,0.0
4539,2026-05-01 17:49:24,TEMP,0.0
4537,2026-05-01 17:49:19,TEMP,0.0
4535,2026-05-01 17:49:14,TEMP,0.0
4533,2026-05-01 17:49:09,TEMP,0.0
4531,2026-05-01 17:49:04,TEMP,0.0
4529,2026-05-01 17:48:59,TEMP,0.0
4527,2026-05-01 17:48:54,TEMP,0.0
4525,2026-05-01 17:48:49,TEMP,0.0
4523,2026-05-01 17:48:44,TEMP,0.0
4521,2026-05-01 17:48:39,TEMP,0.0
4519,2026-05-01 17:48:34,TEMP,0.0
4517,2026-05-01 17:48:29,TEMP,0.0
4515,2026-05-01 17:48:24,TEMP,0.0
4513,2026-05-01 17:48:19,TEMP,0.0
4511,2026-05-01 17:48:14,TEMP,0.0
4509,2026-05-01 17:48:08,TEMP,0.0
4507,2026-05-01 17:48:03,TEMP,0.0
4505,2026-05-01 17:47:58,TEMP,0.0
4503,2026-05-01 17:47:53,TEMP,0.0
4501,2026-05-01 17:47:48,TEMP,0.0
4499,2026-05-01 17:47:43,TEMP,0.0
4497,2026-05-01 17:47:38,TEMP,0.0
4495,2026-05-01 17:47:33,TEMP,0.0
