Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
12-03-2026 ; 15:26:05,81.4,97,82.9,47.6,59,61,62.9,64.5,58.8,58.9,51.9,43.4,57.9,61.8,61.3,55.8,56.5,61.2,49,59.5,58.3,55.2,51.2,42.3
12-03-2026 ; 15:26:53,81.6,97.3,83.1,47.6,59,61.2,63,64.7,59,59.2,52.1,43.4,58,61.9,61.3,55.8,56.7,61.3,49,59.6,58.3,55.2,51.2,42.4
12-03-2026 ; 15:27:00,81.7,97.4,83.2,47.5,59.1,61.2,63,64.7,59,59.2,52.1,43.4,58,61.9,61.3,55.8,56.7,61.3,49.1,59.6,58.4,55.2,51.2,42.1
12-03-2026 ; 15:32:00,83.7,100,85.4,48.9,60.8,62.9,64.6,66.4,59.8,60.2,52.9,43.8,58.6,62.5,62,56.7,57.5,62.1,49.5,60,58.8,55.6,51.4,42.1
12-03-2026 ; 15:37:00,84.7,101,86.1,49,61.2,63.3,64.8,66.7,60.7,61.2,53.8,44.1,59.2,63.1,62.6,57.4,58.2,62.9,49.9,60.4,59.2,55.9,51.6,42.7
12-03-2026 ; 15:42:00,86,102.7,87.4,49.9,62.1,64.3,65.8,67.8,61.4,62,54.6,44.3,59.6,63.6,63.2,58.1,58.9,63.5,50.3,60.6,59.5,56.3,51.8,41.8
12-03-2026 ; 15:47:00,87.1,104.2,88.7,50.6,62.9,65.3,66.6,68.7,62.2,62.8,55.3,44.5,60.2,64.1,63.6,58.7,59.6,64.3,50.8,61,60,56.7,52,42.9
12-03-2026 ; 15:52:00,88.4,105.6,90,51.5,63.8,66.2,67.4,69.7,62.9,63.6,56,44.8,60.6,64.6,64.1,59.3,60.2,64.9,51.1,61.3,60.4,57,52.2,41.7
12-03-2026 ; 15:57:00,89.5,106.9,90.6,52.2,64.3,67,68.2,70.4,63.5,64.3,56.7,45,61.1,65,64.6,59.9,60.7,65.5,51.4,61.6,60.6,57.3,52.4,42.3
12-03-2026 ; 16:02:00,90.9,108.7,92.5,53.2,65.4,68.4,69.3,71.6,64.1,65,57.3,45.1,61.5,65.4,65,60.5,61.3,66.1,51.7,61.8,60.9,57.5,52.5,42.9
12-03-2026 ; 16:07:00,91.6,109.2,92.7,53.4,65.7,68.6,69.4,71.8,64.8,65.7,57.9,45.3,61.9,66,65.6,61.1,61.8,66.8,52,62.1,61.2,57.8,52.7,42.4
12-03-2026 ; 16:12:00,93.1,111,94.4,54.5,66.8,69.6,70.2,72.8,65.2,65.8,58.3,45.5,62.3,66.2,65.8,61.5,62.1,67.3,52.4,62.4,61.5,57.8,52.9,43
12-03-2026 ; 16:17:00,94,112,95.2,55.1,67.2,70.5,71,73.6,65.7,66.7,59,45.6,62.6,66.6,66.3,61.9,62.7,67.8,52.6,62.5,61.8,58.2,53,43.2
12-03-2026 ; 16:22:00,94.4,112.5,95.7,55.2,67.3,70.7,71,73.7,66.2,67.3,59.4,45.8,63,67,66.7,62.5,63.2,68.4,52.9,62.8,62.1,58.5,53.2,44.6
12-03-2026 ; 16:27:00,95.3,113.4,96.3,55.7,68.1,71,71.5,74.2,66.7,67.8,59.9,45.9,63.3,67.4,67.2,62.8,63.7,68.9,53.2,63.1,62.4,58.7,53.3,42
12-03-2026 ; 16:32:00,96.2,114.4,97.1,56.4,68.6,71.8,72.2,74.9,67.2,68.4,60.5,46.1,63.6,67.7,67.5,63.3,64,69.3,53.4,63.2,62.5,58.9,53.4,42.6
12-03-2026 ; 16:37:00,97.4,115.9,98.2,57.4,69.8,72.8,73.2,75.9,67.5,68.7,61,46.2,63.8,68,67.8,63.6,64.4,69.7,53.6,63.4,62.8,59.1,53.5,42.1
12-03-2026 ; 16:42:00,97.9,116.3,98.5,57.8,70.3,73.1,73.4,76.1,67.9,69.1,61.3,46.3,64,67.9,67.8,63.8,64.6,69.9,53.8,63.4,62.8,59.2,53.4,41.7
12-03-2026 ; 16:47:00,98.1,116.4,98.6,57.9,70.1,73.5,73.6,76,68,69.4,61.7,46.4,64.1,68.1,68,64,64.9,70.1,53.9,63.3,62.8,59.1,53.4,41.8
12-03-2026 ; 16:52:00,98.4,116.8,98.8,58.4,70.5,73.5,73.7,76.4,68.4,69.8,62,46.4,64.3,68.2,68.2,64.3,65.1,70.4,54,63.4,62.8,59.2,53.4,42.2
12-03-2026 ; 16:57:00,98.9,117.6,99.4,58.8,70.8,74,74.1,76.8,68.6,70,62.4,46.6,64.4,68.4,68.4,64.6,65.3,70.7,54.2,63.4,62.9,59.3,53.4,43.2
12-03-2026 ; 17:02:00,99.2,117.9,99.6,59.2,71.1,74.1,74.3,76.9,68.9,70.3,62.6,46.7,64.6,68.6,68.7,64.8,65.5,71,54.3,63.6,63,59.4,53.5,42.9
12-03-2026 ; 17:07:00,100.5,118.9,100.3,60.1,71.5,75,75,77.6,69.2,70.6,63,46.8,64.8,68.8,69,65,65.8,71.3,54.4,63.7,63.1,59.5,53.6,43.2
12-03-2026 ; 17:12:00,100.3,118.9,100.4,59.9,71.6,74.8,74.8,77.5,69.3,70.8,63.3,46.8,64.9,68.9,69.2,65.2,66,71.6,54.6,63.8,63.3,59.6,53.7,43.6
12-03-2026 ; 17:17:00,100.3,119.2,100.5,59.8,71.4,75,74.8,77.5,69.5,71,63.5,47,65,69.1,69.3,65.4,66.2,71.8,54.7,63.9,63.4,59.7,53.7,42.8
