Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
12-03-2026 ; 14:12:32,37.3,37,37.1,37,38,38.2,38,38,38.9,39,38.9,38.9,39,38.9,38.9,39.2,38.8,39,38.6,38.8,38.6,38.8,38.1,38.9
12-03-2026 ; 14:13:00,37.3,36.9,37.1,36.9,38,38.1,37.9,38,38.9,39,38.9,38.9,39,38.9,38.9,39.2,38.8,39,38.6,38.8,38.6,38.8,38.1,38.9
12-03-2026 ; 14:18:07,40.8,42.7,41.2,37.4,39.5,39.8,40.3,40.6,40.6,40.4,39.3,39.1,42.2,43.1,43.2,41,40.5,42.8,39.1,42.3,40.8,41.1,40.4,39
12-03-2026 ; 14:23:11,45.7,49.3,46.5,38,41.4,41.8,43,43.1,42.4,42.1,40,39.4,44.7,46.3,46.3,42.7,42.4,45.5,40,46,44.1,43.6,42.7,39
