Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
12-03-2026 ; 14:25:16,47.7,52,48.3,38.7,42.3,42.6,44,44.2,43.1,42.8,40.3,39.5,45.6,47.3,47.4,43.4,43.1,46.4,40.4,47.2,45.3,44.4,43.5,39.1
12-03-2026 ; 14:26:00,48.7,53.3,49.4,39.3,43,43.4,44.7,45,43.4,43.1,40.4,39.6,45.9,47.7,47.6,43.6,43.3,46.7,40.6,47.6,45.7,44.6,43.8,39.1
12-03-2026 ; 14:31:05,53.2,59.2,53.9,40.1,44.8,45.3,46.9,47.2,45,44.6,41.2,39.8,47.7,49.8,49.7,45.1,44.8,48.6,41.6,49.9,48.1,46.4,45.2,39.3
12-03-2026 ; 14:36:10,56.6,64,57.5,40.4,45.9,46.6,48.4,48.8,46.6,46.1,42,40.1,49.2,51.8,51.4,46.3,46.2,50.2,42.5,51.7,50,47.8,46.4,39.4
12-03-2026 ; 14:41:23,60.7,69.5,62,41.6,48.1,49,51,51.4,48.1,47.6,43,40.4,50.6,53.3,52.9,47.5,47.5,51.6,43.3,53.2,51.5,49,47.3,39.7
12-03-2026 ; 14:47:01,63.6,73.6,65.1,41.4,49.1,50.2,52.2,52.8,49.8,49.3,44.1,40.8,51.8,54.7,54.1,48.8,48.8,53,44.2,54.4,52.8,50,48.1,40.1
