Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
17-04-2026 ; 14:03:49,40.8,39.70,40.85,40.5,40.2,40.1,40.1,40.3,40.2,39.9,40,40,40.8,40.7,40.9,40.3,40.4,41,40.2,40.1,40.1,39.9,38.8,41.1
17-04-2026 ; 14:04:00,40.8,39.77,40.85,40.5,40.2,40.2,40.2,40.4,40.2,39.9,40,40,40.9,40.8,41,40.3,40.5,41.1,40.2,40.1,40.1,39.9,38.8,41.1
17-04-2026 ; 14:34:00,50.3,49.32,50.28,44.4,50.7,50.3,50.6,51.2,47.8,48.3,44.6,41.6,51.1,53.1,53.4,48.2,48.9,51.9,47,52.6,54.2,48.2,44.2,41.6
17-04-2026 ; 15:04:00,58.5,56.79,57.82,47.5,59.3,59.2,58.9,60.3,54.3,55.7,51,43.7,55.9,58.7,58.8,53.4,54.8,58.2,51,57.2,59.6,52.2,46.9,42.1
