Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
11-04-2026 ; 16:00:33,39.4,39.6,39.1,39,39.7,40.2,39.9,40.1,40.2,40.5,40.1,39.7,40.7,42,42.3,40.9,39.6,41.6,39.8,40.2,40,40.1,38.2,40.1
11-04-2026 ; 16:01:00,39.6,39.8,39.2,39,39.9,40.4,40.1,40.3,40.3,40.6,40.1,39.8,41,42.4,42.7,41,39.8,41.9,39.8,40.4,40.2,40.3,38.3,40.1
11-04-2026 ; 16:06:00,41.6,42.5,41.1,39.7,42.1,42.4,42.4,42.5,41.8,42.3,40.8,40.1,43.9,46,46.8,42.9,41.9,45.1,41.6,43.4,43.5,42.5,39.2,40.2
11-04-2026 ; 16:11:00,43.6,45.3,43.1,40.4,44.5,44.6,44.8,44.8,43.3,43.8,41.4,40.4,46.4,48.7,49.6,44.5,43.9,47.6,43.8,46.3,46.8,44.5,40.4,40.2
11-04-2026 ; 16:16:00,45.4,48,45.1,41,46.8,46.7,47,46.9,44.8,45.4,42.2,40.8,48.3,50.9,51.8,46,45.7,49.5,45.6,48.6,49.6,46.1,41.3,40.2
11-04-2026 ; 16:21:00,47.5,50.9,47.1,41.6,49,48.8,49.2,49.1,46.4,47,43.2,41.1,50,52.8,53.7,47.4,47.4,51.4,47.1,50.6,51.8,47.6,42.2,40.3
11-04-2026 ; 16:26:00,49.4,53.6,49.2,42.3,51.2,51,51.2,51.1,48,48.6,44.2,41.5,51.4,54.4,55.3,48.6,48.8,53,48.4,52.3,53.7,48.7,43,40.4
11-04-2026 ; 16:31:00,51.4,56,51.1,42.8,53.2,53,53.2,53.2,49.5,50.1,45.5,41.9,52.6,55.8,56.6,49.9,50.2,54.4,49.6,53.7,55.3,49.8,43.6,40.6
11-04-2026 ; 16:36:00,53.1,58.3,52.9,43.4,55.1,54.9,55.1,55.1,50.9,51.6,46.8,42.3,53.7,57.1,57.8,51.1,51.5,55.9,50.7,54.8,56.6,50.6,44.2,40.7
11-04-2026 ; 16:41:00,54.8,60.5,54.6,44,56.9,56.6,57,56.9,52.4,53.2,48.4,42.6,54.8,58.2,58.9,52.2,52.8,57.2,51.6,55.8,57.8,51.4,44.7,40.5
11-04-2026 ; 16:46:00,56.3,62.3,56.2,44.5,58.6,58.3,58.6,58.6,53.7,54.7,49.8,43,55.7,59.2,59.9,53.3,54,58.5,52.4,56.7,58.9,52.1,45.1,40.4
11-04-2026 ; 16:51:00,57.9,64.3,57.8,45.1,60.2,60,60.4,60.4,55,56.2,51,43.4,56.6,60.1,60.9,54.3,55.2,59.8,53.2,57.5,59.8,52.7,45.6,40.5
11-04-2026 ; 16:56:00,59.3,66.2,59.1,45.6,61.7,61.5,61.8,61.9,56.3,57.6,52.2,43.8,57.4,61.1,61.9,55.3,56.2,61,53.9,58.2,60.7,53.3,45.9,40.6
11-04-2026 ; 17:01:00,60.5,67.8,60.2,46,63.1,62.9,63.1,63.4,57.3,58.9,53.4,44.1,58.1,61.9,62.6,56.3,57.2,62.1,54.6,58.9,61.5,53.8,46.2,40.5
11-04-2026 ; 17:06:00,61.7,69,61.5,46.4,64.4,64.3,64.4,64.7,58.5,60.1,54.5,44.3,58.9,62.7,63.5,57.2,58.1,63.1,55.2,59.4,62.2,54.3,46.4,40.6
11-04-2026 ; 17:11:00,62.7,70.2,62.4,46.9,65.6,65.4,65.5,65.9,59.5,61.3,55.8,44.6,59.5,63.4,64.2,58.1,59,64.1,55.7,60,62.9,54.7,46.8,40.6
11-04-2026 ; 17:16:00,63.7,71.5,63.4,47.3,66.8,66.6,66.7,67.2,60.5,62.5,56.6,44.9,60.2,64.1,64.9,58.9,59.9,65,56.2,60.5,63.4,55.2,47,40.8
11-04-2026 ; 17:21:00,64.6,72.7,64.3,47.7,67.8,67.8,67.8,68.3,61.3,63.4,57.5,45.2,60.8,64.7,65.5,59.7,60.7,66,56.7,61,64,55.5,47.2,40.7
11-04-2026 ; 17:26:00,65.7,73.6,65.2,48.1,68.9,68.9,68.6,69.4,62.2,64.4,58.3,45.4,61.3,65.2,66.1,60.5,61.4,66.8,57.3,61.5,64.6,55.9,47.3,40.7
11-04-2026 ; 17:31:00,66.2,74.4,65.8,48.4,69.7,69.8,69.4,70.2,62.9,65.2,59,45.6,61.8,65.7,66.6,61.2,62.2,67.6,57.6,61.9,65.2,56.2,47.6,40.6
11-04-2026 ; 17:36:00,67,75.5,66.6,48.8,70.5,70.9,70.2,71.2,63.7,66.1,59.6,45.9,62.4,66.3,67.1,61.8,62.9,68.4,58.1,62.4,65.5,56.5,47.7,40.7
11-04-2026 ; 17:41:00,67.8,76.3,67.3,49,71.4,71.6,70.9,71.9,64.3,66.9,60.5,46.1,62.8,66.8,67.5,62.5,63.6,69.2,58.4,62.7,66,56.8,47.8,41
