Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11
13-04-2026 ; 18:08:39,40.5,36.896,40.54916,40.6,40.7,40.8,40.7,40.9,40.6,40.7,40.8,40.3
13-04-2026 ; 18:09:00,40.5,36.896,40.55,40.5,40.7,40.8,40.7,40.9,40.6,40.7,40.8,40.3
13-04-2026 ; 18:10:00,40.5,36.896,40.55,40.5,40.7,40.8,40.7,40.9,40.6,40.7,40.8,40.3
13-04-2026 ; 18:11:00,40.5,36.896,40.55,40.5,40.7,40.8,40.7,40.9,40.6,40.7,40.8,40.2
13-04-2026 ; 18:12:00,40.5,36.896,40.55,40.5,40.7,40.8,40.7,40.9,40.6,40.7,40.8,40.2
13-04-2026 ; 18:12:40,40.5,36.90,40.45,40.5,40.7,40.8,40.7,40.9,40.6,40.7,40.7,40.2
13-04-2026 ; 18:13:20,40.5,36.90,40.45,40.5,40.7,40.8,40.7,40.9,40.6,40.7,40.7,40.2
