Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11
14-04-2026 ; 10:29:52,45,44.00,45.06,39.5,46.4,46,46.7,46.9,43.1,43.3,39.8,38.7
14-04-2026 ; 10:29:52,45,44.00,45.06,39.5,46.4,46,46.7,46.9,43.1,43.3,39.8,38.7
14-04-2026 ; 10:30:00,45,44.00,45.06,39.5,46.4,46,46.8,47,43.2,43.4,39.8,38.7
14-04-2026 ; 11:00:00,52.7,51.62,52.61,43.3,55.2,54.8,55.5,56.1,50,51.2,46.9,39.8
14-04-2026 ; 11:30:00,58,56.51,57.61,46.1,61.5,61.6,61.5,62.9,55.3,57.6,52.5,40.9
14-04-2026 ; 12:00:00,62.6,60.21,61.46,48.7,65.8,66.1,65.5,67.1,59,61.4,56.3,42.2
14-04-2026 ; 12:30:00,65.5,62.28,63.82,50.5,69.7,70,68.9,70.8,62,65.1,59.6,43
14-04-2026 ; 13:00:00,68.1,64.20,65.99,52.3,72.3,73,71.4,73.6,64.4,68.1,62,43.8
14-04-2026 ; 13:30:00,70.2,65.68,67.60,53.6,74.2,75.1,73,75.6,66.2,70.1,63.8,44.2
14-04-2026 ; 14:00:05,70.9,65.90,68.05,54,75.3,75.9,74.1,76.5,67.1,71.1,65.3,44
14-04-2026 ; 14:30:05,71.2,66.27,68.14,54.3,75.8,76.8,74.4,77.3,67.5,71.6,65.7,44
