Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
20-04-2026 ; 14:59:31,75.3,83.60,72.90,55.5,78.4,78.9,77.2,79.5,69.7,73.8,68.1,49.4,66.6,70.4,71,67.7,69.7,73.9,60.2,65.6,69.8,60.3,51.8,41.8
20-04-2026 ; 15:00:00,75.2,83.60,72.90,55.5,78.3,78.9,77.1,79.6,69.7,73.8,68.1,49.4,66.6,70.4,71,67.7,69.7,73.9,60.2,65.6,69.8,60.3,51.8,41.8
20-04-2026 ; 15:05:00,75.2,83.50,72.70,55.4,78.4,79,77.2,79.6,69.7,73.9,68.1,49.4,66.6,70.6,71.2,67.8,69.9,74.1,60.1,65.5,69.9,60.3,51.8,41.8
20-04-2026 ; 15:10:01,75.3,83.50,72.80,55.4,78.5,79.1,77.3,79.8,69.7,74,68.2,49.4,66.7,70.7,71.3,67.8,70,74.2,60.2,65.7,70,60.4,51.9,42
20-04-2026 ; 15:15:01,75.2,83.60,72.60,55.4,78.6,79.3,77.4,79.9,69.8,74.1,68.2,49.4,66.8,70.9,71.4,67.9,70.1,74.3,60.2,65.7,70.1,60.4,51.9,41.8
20-04-2026 ; 15:20:01,75.4,83.90,72.90,55.4,78.7,79.4,77.4,80,69.9,74.2,68.1,49.4,66.8,70.9,71.5,68,70.2,74.4,60.2,65.8,70.2,60.4,52,42
20-04-2026 ; 15:25:01,75.4,84.10,72.90,55.5,78.8,79.6,77.5,80.1,69.9,74.2,68.3,49.4,66.8,70.9,71.5,68,70.1,74.4,60.2,65.8,70.2,60.4,52,41.9
20-04-2026 ; 15:30:01,75.5,84.30,73.00,55.5,78.9,79.6,77.5,80.2,69.9,74.3,68.4,49.5,66.9,71,71.6,68,70.2,74.5,60.2,65.8,70.2,60.4,52,42.1
20-04-2026 ; 15:35:01,75.6,84.50,73.20,55.6,78.8,79.7,77.6,80.2,69.9,74.3,68.4,49.5,66.9,71,71.6,68,70.3,74.6,60.2,65.8,70.3,60.5,52.1,42.1
