Date & Time,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17,Temp18,Temp19,Temp20,Temp21,Temp22,Temp23
20-04-2026 ; 09:55:44,33.7,34.59,34.33,33.9,34.1,34,34.1,34.2,34.3,33.8,34.1,33.8,34.3,33.8,34,34,34.3,34.1,34.5,34.1,34.1,33.8,33.4,36
20-04-2026 ; 09:56:00,33.7,34.59,34.33,33.9,34.1,34,34.1,34.2,34.3,33.8,34.1,33.8,34.3,33.8,34,34,34.4,34.2,34.5,34.1,34.1,33.8,33.4,36.2
20-04-2026 ; 10:26:00,44.9,45.55,45.17,39.3,46.1,45.3,45.8,45.8,42.6,42.7,39.3,36.5,46.2,48.6,49.3,42.8,43.5,46.5,41.9,47.4,49.2,43,39.4,38.2
20-04-2026 ; 10:56:00,54.9,54.35,54.21,43.7,56.2,55.7,55.5,56.3,50.3,51.6,46.9,39.6,52,54.9,55.5,49.3,50.7,54,47,53.1,55.8,48.1,43,39.9
20-04-2026 ; 11:26:00,61.7,60.12,59.94,47.1,63.2,63.2,62.2,63.8,56.1,58.4,53.2,42.2,56.2,59.4,60.2,54.6,56.3,60,50.6,56.6,59.7,51.5,45.4,41.1
20-04-2026 ; 11:56:02,66.4,63.97,63.58,49.5,68.1,68.2,66.9,68.8,60.4,63.4,58.1,44.3,59.4,62.7,63.5,58.6,60.5,64.3,53.6,59.2,62.8,54.1,47.2,42
20-04-2026 ; 12:26:02,69.7,66.41,66.02,51.5,71.7,71.9,70.5,72.6,63.5,67,61.3,45.9,61.8,65.3,66.3,61.7,63.7,67.8,55.9,61.2,65.2,56.3,48.6,42.7
20-04-2026 ; 12:56:02,72.2,68.41,67.90,53,74.5,74.8,73.1,75.3,66,69.7,64,47.2,63.8,67.3,68.3,64.1,66.1,70.5,57.6,63.1,67.3,57.9,49.8,43.3
20-04-2026 ; 13:26:04,73.8,69.67,69.42,54.2,76.2,76.6,75.2,77.3,67.9,71.8,66,48.2,65.3,68.7,69.5,65.9,67.9,72.3,58.9,64.5,68.7,59.1,50.7,43.9
20-04-2026 ; 13:56:05,74.4,70.48,70.13,54.8,77.1,77.5,76.2,78.3,68.8,72.8,67.1,48.9,65.9,69.4,70.1,66.8,68.8,73.1,59.8,65,69.3,59.8,51.2,44.2
20-04-2026 ; 14:26:05,75,71.30,70.66,55.2,77.8,78.4,76.9,79,69.4,73.4,67.6,49.3,66.5,70.3,70.8,67.4,69.3,73.6,60,65.5,69.7,60.3,51.6,42.9
